ID,Title,Content,Excerpt,Date,"Post Type",Permalink,Languages,Locations,Types,Categories,"Author Email","Author First Name","Author Last Name",_media_lib_author,_media_lib_file,_media_lib_file2
1387,"La Politique Nationale de l'EAU","Le ministère des Mines, de l’Energie et de l’Eau, ayant pris la mesure des enjeux en présence, s’est résolument engagé dans un processus conduisant à la nécessité de disposer d’un document de «Politique Nationale de l’Eau» à la suite d’une réflexion impliquant l’ensemble des acteurs du domaine de l’eau. Le document comporte deux parties:

La première partie fait le diagnostic de l’état des ressources en eau, de l’état des ouvrages de mobilisation mais aussi de la protection des ressources, de la situation du système d’information sur l’eau en place, décrit les ressources en eau, leur disponibilité suivant les régions et les bassins versants, l’estimation des différents usages de l’eau.

La deuxième partie énonce les principes de la Politique Nationale de l’Eau, les orientations stratégiques sur lesquelles porteront particulièrement les efforts. Elle présente les éléments de la politique de gestion des eaux que le gouvernement souhaite mettre en place avec la contribution des différents acteurs.",,2016-12-09,media,https://pemmali.org/media/la-politique-nationale-de-leau/,,,PDF,Presentation,birama@Akvo.org,,,"Ministère des Mines, de l’Energie et de l’Eau",http://dnh-mali-atlas-eau.org/wp-content/uploads/sites/24/2016/12/Doc-Politique-Nationale-Eau-Version-finale_NR.pdf,
1388,"PRESENTATION CODE DE L’EAU","Ce document fait une présentation explicative des differentes lois et textes contenues dans le code de l'eau. Il traite les axes suivantes:

PORTEE DU CODE DE L'EAU DANS LA GESTION DES RESSOURCES EN EAU

LES AXES PRINCIPAUX DE LA LOI PORTANT CODE DE L'EAU

LES INNOVATIONS DE LA LOI PORTANT CODE DE L'EAU:

LES TEXTES D'APPLICATION DU CODE DE L'EAU",,2016-12-09,media,https://pemmali.org/media/presentation-code-de-leau/,,,PPT,Presentation,birama@Akvo.org,,,DHN,http://dnh-mali-atlas-eau.org/wp-content/uploads/sites/24/2016/12/Présentation-Code-de-leau.pdf,
1393,"CAHIER DE CHARGES  POUR LA DELEGATION DE GESTION DES ADDUCTIONS D’EAU POTABLE DANS LES CENTRES SEMI-URBAINS ET RURAUX","Ce document trace la démarche a suivre pour faire une delegation de gestion d'un adduction d'eau potable. Ses contenus sont :

1. DÉFINITIONS

2. LES DISPOSITIONS GENERALES

3. EXPLOITATION DU SERVICE

4. REGIME DU PERSONNEL

5. TRAVAUX

6. FINANCEMENT

7. REVISION DE PRIX

8. REGIME FISCAL

9. GARANTIES, SANCTIONS ET CONTENTIEUX

10. FIN DE LA DELEGATION

11. PRODUCTION DE COMPTES-RENDU

12. CONTROLES

&nbsp;",,2016-12-09,media,https://pemmali.org/media/cahier-des-charges-pour-la-delegation-de-gestion-des-adductions-deau-potable-dans-les-centres-semi-urbains-et-ruraux/,,,Word,"Plan operationnel",birama@Akvo.org,,,DNH,http://dnh-mali-atlas-eau.org/wp-content/uploads/sites/24/2016/12/Délégation-de-gestion-CC-RR.doc,
1396,"DELEGATION DES PRESTATIONS DE SUIVI TECHNIQUE ET FINANCIER DES SYSTÈMES D'ADDUCTION D’EAU POTABLE","Le présent document clarifie la nature de prestation et les termes du contrat dans le cadre d'un suivi technique et financier d'un centre AEP. Des obligations des deux parties au protocole aux indicateurs de performances, ce document est outil nécessaire pour assurer la pérennité d'un SAEP.",,2016-12-09,media,https://pemmali.org/media/delegation-des-prestations-de-suivi-technique-et-financier-des-systemes-dadduction-deau-potable/,,,Word,,birama@Akvo.org,,,DNH,http://dnh-mali-atlas-eau.org/wp-content/uploads/sites/24/2016/12/Protocole-suivi.doc,
1399,"Système Informatique  de Gestion des ressources en eau du MAli (SIGMA)","Une des missions essentielles de la Direction Nationale de l’Hydraulique est de faire l’inventaire et d’évaluer le potentiel hydrique au niveau national.

La DNH s’est vite rendue compte de la nécessité de la mise en place d’un outil performant de suivi, de planification et de gestion pour le service de l’eau. C’est dans cette perspective qu’une base de données dénommée Système Informatique de Gestion des ressources en eau du Mali (SIGMA) a été mise en place.",,2016-12-09,media,https://pemmali.org/media/systeme-informatique-de-gestion-des-ressources-en-eau-du-mali-sigma/,,,PPT,Strategie,birama@Akvo.org,,,DNH,http://dnh-mali-atlas-eau.org/wp-content/uploads/sites/24/2016/12/4.-SIGMA-PRESENTATION.ppt,
2879,"Situation des Points' D'eau Modernes District de Bamako",,,2019-08-29,media,https://pemmali.org/media/situation-des-points-deau-modernes-district-de-bamako/,,Bamako,PDF,Brochure,lars@akvo.org,Lars,Heemskerk,DNH,https://pemmali.org/wp-content/uploads/sites/24/2019/08/DNH-Atlas-Bamako.pdf,
2884,"Situation des Points' D'eau Modernes Région de Sikasso",,,2019-08-29,media,https://pemmali.org/media/situation-des-points-deau-modernes-region-de-sikasso/,,Sikasso,PDF,Brochure,lars@akvo.org,Lars,Heemskerk,DNH,https://pemmali.org/wp-content/uploads/sites/24/2019/08/DNH-Atlas-Sikasso.pdf,
2885,"Situation des Points' D'eau Modernes Région de Kayes",,,2019-08-29,media,https://pemmali.org/media/situation-des-points-deau-modernes-region-de-kayes/,,Kayes,PDF,Brochure,lars@akvo.org,Lars,Heemskerk,DNH,https://pemmali.org/wp-content/uploads/sites/24/2019/08/DNH-Atlas-Kayes.pdf,
2886,"Situation des Points' D'eau Modernes Région de Koulikoro",,,2019-08-29,media,https://pemmali.org/media/situation-des-points-deau-modernes-region-de-koulikoro/,,Koulikoro,PDF,Brochure,lars@akvo.org,Lars,Heemskerk,DNH,https://pemmali.org/wp-content/uploads/sites/24/2019/08/DNH-Atlas-Koulikoro.pdf,
2887,"Situation des Points' D'eau Modernes Région de Gao",,,2019-08-29,media,https://pemmali.org/media/situation-des-points-deau-modernes-region-de-gao/,,Gao,PDF,Brochure,lars@akvo.org,Lars,Heemskerk,DNH,https://pemmali.org/wp-content/uploads/sites/24/2019/08/DNH-Atlas-Gao.pdf,
2888,"Situation des Points' D'eau Modernes Région de Kidal",,,2019-08-29,media,https://pemmali.org/media/situation-des-points-deau-modernes-region-de-kidal/,,Kidal,PDF,Brochure,lars@akvo.org,Lars,Heemskerk,,https://pemmali.org/wp-content/uploads/sites/24/2019/08/DNH-Atlas-KIDAL.pdf,
2889,"Situation des Points' D'eau Modernes Région de Tombouctou",,,2019-08-29,media,https://pemmali.org/media/situation-des-points-deau-modernes-region-de-tombouctou/,,Tombouctou,PDF,Brochure,lars@akvo.org,Lars,Heemskerk,,https://pemmali.org/wp-content/uploads/sites/24/2019/08/DNH-Atlas-Tombouctou.pdf,
2890,"Situation des Points' D'eau Modernes Région de Mopti",,,2019-08-29,media,https://pemmali.org/media/situation-des-points-deau-modernes-region-de-mopti/,,Mopti,PDF,Brochure,lars@akvo.org,Lars,Heemskerk,,https://pemmali.org/wp-content/uploads/sites/24/2019/08/DNH-Atlas-Mopti.pdf,
2891,"Situation des Points' D'eau Modernes Région de Ségou",,,2019-08-29,media,https://pemmali.org/media/situation-des-points-deau-modernes-region-de-segou/,,Segou,PDF,Brochure,lars@akvo.org,Lars,Heemskerk,DNH,https://pemmali.org/wp-content/uploads/sites/24/2019/08/DNH-Atlas-Segou.pdf,
